Date,Broker,Type,Amount,Description
2026-02-12,Unknown,Deposit,900.0,Settlement Obligation
2026-02-12,Unknown,Settlement Receivable,838.91,Final Settlement Amount
2026-03-02,Unknown,Withdrawal,346.0,Settlement Obligation
2026-03-02,Unknown,Settlement Payable,416.79,Final Settlement Amount
2026-03-04,Unknown,Deposit,607.0,Settlement Obligation
2026-03-04,Unknown,Settlement Receivable,551.06,Final Settlement Amount
2026-03-05,Unknown,Withdrawal,2308.75,Settlement Obligation
2026-03-05,Unknown,Settlement Payable,2582.46,Final Settlement Amount
2026-03-06,Unknown,Deposit,542.75,Settlement Obligation
2026-03-06,Unknown,Settlement Receivable,430.17,Final Settlement Amount
2026-03-09,Unknown,Deposit,711.75,Settlement Obligation
2026-03-09,Unknown,Settlement Receivable,653.61,Final Settlement Amount
2026-03-10,Unknown,Deposit,646.75,Settlement Obligation
2026-03-10,Unknown,Settlement Receivable,589.08,Final Settlement Amount
2026-03-11,Unknown,Withdrawal,743.25,Settlement Obligation
2026-03-11,Unknown,Settlement Payable,918.27,Final Settlement Amount
2026-03-12,Unknown,Deposit,278.0,Settlement Obligation
2026-03-12,Unknown,Settlement Receivable,62.31,Final Settlement Amount
2026-02-13,Unknown,Deposit,1534.0,Settlement Obligation
2026-02-13,Unknown,Settlement Receivable,1278.18,Final Settlement Amount
2026-03-13,Unknown,Deposit,1906.5,Settlement Obligation
2026-03-13,Unknown,Settlement Receivable,1782.78,Final Settlement Amount
2026-02-16,Unknown,Withdrawal,780.0,Settlement Obligation
2026-02-16,Unknown,Settlement Payable,907.28,Final Settlement Amount
2026-03-16,Unknown,Withdrawal,1030.25,Settlement Obligation
2026-03-16,Unknown,Settlement Payable,1444.74,Final Settlement Amount
2026-02-17,Unknown,Withdrawal,3698.5,Settlement Obligation
2026-02-17,Unknown,Settlement Payable,3932.37,Final Settlement Amount
2026-02-18,Unknown,Deposit,247.0,Settlement Obligation
2026-02-18,Unknown,Settlement Receivable,70.98,Final Settlement Amount
2026-02-19,Unknown,Withdrawal,2175.75,Settlement Obligation
2026-02-19,Unknown,Settlement Payable,2481.31,Final Settlement Amount
2026-02-20,Unknown,Deposit,2743.0,Settlement Obligation
2026-02-20,Unknown,Settlement Receivable,2600.0,Final Settlement Amount
2026-02-23,Unknown,Deposit,650.0,Settlement Obligation
2026-02-23,Unknown,Settlement Receivable,588.24,Final Settlement Amount
2026-02-24,Unknown,Deposit,191.75,Settlement Obligation
2026-02-24,Unknown,Settlement Receivable,77.36,Final Settlement Amount
2026-02-25,Unknown,Withdrawal,152.75,Settlement Obligation
2026-02-25,Unknown,Settlement Payable,332.4,Final Settlement Amount
2026-02-26,Unknown,Deposit,544.25,Settlement Obligation
2026-02-26,Unknown,Settlement Receivable,434.02,Final Settlement Amount
2026-02-27,Unknown,Deposit,474.5,Settlement Obligation
2026-02-27,Unknown,Settlement Receivable,359.74,Final Settlement Amount
